代號,當前股價,今日成交量(張),近三日平均(張),爆量倍數
1325.TW,27.15,936,224,4.18
9919.TW,14.3,827,337,2.46
2615.TW,76.9,16453,9077,1.81
2886.TW,39.55,28083,15624,1.8
3711.TW,510.0,24692,17614,1.4
2603.TW,197.5,17769,14053,1.26
2308.TW,2020.0,8419,8084,1.04
2618.TW,34.1,26271,27197,0.97
2382.TW,300.0,30660,32699,0.94
2427.TW,20.25,572,624,0.92
2002.TW,18.2,31664,38136,0.83
2330.TW,2240.0,25875,32339,0.8
4755.TW,135.0,391,491,0.8
2408.TW,305.0,114548,146265,0.78
2449.TW,295.0,27067,35981,0.75
3037.TW,816.0,20139,27617,0.73
2303.TW,111.0,262569,362963,0.72
2609.TW,48.55,13678,19659,0.7
1301.TW,45.9,11927,16974,0.7
2891.TW,54.8,30196,43788,0.69
2317.TW,248.5,60689,92196,0.66
2344.TW,130.5,191092,297695,0.64
3231.TW,135.5,28704,44861,0.64
2357.TW,635.0,3840,6096,0.63
2324.TW,28.25,55912,95772,0.58
3035.TW,193.0,10675,18751,0.57
2363.TW,61.4,10950,28179,0.39
6116.TW,10.35,57564,264013,0.22
